,SalePrice,OverallQual,OverallCond,BedroomAbvGr,TotRmsAbvGrd,GrLivArea,TotalBsmtSF,YearBuilt,MSZoning,Utilities,BldgType
220,204900,7,5,2,5,1498,1498,2006,RL,AllPub,1Fam
221,200000,6,5,4,8,2267,1010,2002,RL,AllPub,1Fam
222,179900,6,6,3,6,1552,713,1975,RL,AllPub,1Fam
223,97000,4,6,2,4,864,864,1971,RL,AllPub,1Fam
224,386250,10,5,3,8,2392,2392,2003,RL,AllPub,1Fam
225,112000,5,5,3,6,1302,630,1971,RM,AllPub,Twnhs
226,290000,7,5,4,9,2520,1203,1995,RL,AllPub,1Fam
227,106000,6,6,2,5,987,483,1970,RM,AllPub,Twnhs
228,125000,5,5,3,5,912,912,1967,RL,AllPub,1Fam
229,192500,7,5,2,7,1555,1373,2005,RL,AllPub,TwnhsE
230,148000,6,6,3,6,1194,1194,1959,RL,AllPub,1Fam
231,403000,8,5,4,9,2794,1462,1995,RL,AllPub,1Fam
232,94500,6,5,2,5,987,483,1972,RM,AllPub,Twnhs
233,128200,5,6,3,5,894,894,1976,RL,AllPub,1Fam
234,216500,6,5,4,8,1960,860,2002,RL,AllPub,1Fam
235,89500,6,3,2,5,987,483,1971,RM,AllPub,TwnhsE
236,185500,7,5,3,6,1414,1414,2004,RL,AllPub,1Fam
237,194500,7,7,3,7,1744,996,1993,RL,AllPub,1Fam
238,318000,8,5,3,7,1694,1694,2007,RL,AllPub,1Fam
239,113000,6,4,3,7,1487,735,1945,RL,AllPub,1Fam
240,262500,8,5,3,7,1566,1566,2008,FV,AllPub,1Fam
241,110500,5,9,2,4,866,686,1945,RM,AllPub,1Fam
242,79000,5,4,3,6,1440,540,1900,RM,AllPub,1Fam
243,120000,6,6,3,6,1217,626,1980,RL,AllPub,TwnhsE
244,205000,7,5,3,8,2110,948,1994,RL,AllPub,1Fam
245,241500,7,5,3,6,1872,1845,1988,RL,AllPub,1Fam
246,137000,6,8,4,9,1928,1020,1910,RM,AllPub,2fmCon
247,140000,6,5,2,5,1375,1367,1954,RL,AllPub,1Fam
248,180000,7,5,3,8,1668,840,2003,RL,AllPub,1Fam
249,277000,6,7,4,7,2144,1444,1958,RL,AllPub,1Fam
250,76500,3,2,3,6,1306,728,1940,RL,AllPub,1Fam
251,235000,8,5,2,5,1625,1573,2006,RM,AllPub,TwnhsE
252,173000,6,5,3,6,1640,798,2004,RL,AllPub,1Fam
253,158000,6,7,3,7,1302,1302,1964,RL,AllPub,1Fam
254,145000,5,6,3,5,1314,1314,1957,RL,AllPub,1Fam
255,230000,7,5,4,8,2291,975,1999,RL,AllPub,1Fam
256,207500,6,5,3,7,1728,864,2003,FV,AllPub,1Fam
257,220000,7,5,3,8,1604,1604,2006,RL,AllPub,1Fam
258,231500,7,5,3,7,1792,963,2001,RL,AllPub,1Fam
259,97000,5,5,2,4,882,0,1956,RM,AllPub,1Fam
260,176000,6,5,3,6,1382,1362,1962,RL,AllPub,1Fam
261,276000,8,5,3,10,2574,1482,2007,RL,AllPub,1Fam
262,151000,6,7,3,6,1212,506,1977,RL,AllPub,1Fam
263,130000,5,7,3,6,1316,926,1929,RM,AllPub,1Fam
264,73000,5,5,2,4,764,680,1925,RM,AllPub,1Fam
265,175500,6,6,3,7,1422,1422,1981,RL,AllPub,1Fam
266,185000,6,5,3,8,1511,802,1997,RL,AllPub,1Fam
267,179500,5,8,4,8,2192,720,1939,RL,AllPub,1Fam
268,120500,5,6,2,4,778,740,1940,RM,AllPub,1Fam
269,148000,6,7,3,6,1113,1143,1976,RL,AllPub,1Fam
270,266000,8,5,3,8,1939,1095,2006,FV,AllPub,1Fam
271,241500,7,7,2,5,1363,1385,1954,RL,AllPub,1Fam
272,290000,8,7,4,9,2270,1152,1999,RL,AllPub,1Fam
273,139000,6,6,3,6,1632,1240,1958,RL,AllPub,1Fam
274,124500,5,7,2,5,816,816,1982,RL,AllPub,1Fam
275,205000,7,7,3,5,1548,952,1925,RL,AllPub,1Fam
276,201000,7,5,3,7,1560,1560,2003,RL,AllPub,1Fam
277,141000,4,5,2,4,864,864,1951,RL,AllPub,1Fam
278,415298,9,5,3,8,2121,2121,2006,RL,AllPub,1Fam
279,192000,7,5,4,8,2022,1160,1977,RL,AllPub,1Fam
280,228500,7,6,3,7,1982,807,1989,RL,AllPub,1Fam
281,185000,6,5,2,5,1262,1262,2006,FV,AllPub,1Fam
282,207500,7,5,2,6,1314,1314,2007,RL,AllPub,Twnhs
283,244600,8,5,3,6,1468,1468,2008,RL,AllPub,1Fam
284,179200,6,5,2,5,1575,1575,1992,RL,AllPub,TwnhsE
285,164700,7,5,2,5,1250,625,2006,FV,AllPub,TwnhsE
286,159000,6,7,3,7,1734,912,1962,RL,AllPub,1Fam
287,88000,4,4,3,5,858,858,1971,RL,AllPub,1Fam
288,122000,5,5,3,5,900,882,1967,RL,AllPub,1Fam
289,153575,6,7,3,7,1396,698,1915,RL,AllPub,1Fam
290,233230,8,5,3,8,1919,1079,2006,RL,AllPub,1Fam
291,135900,5,6,6,9,1716,780,1912,RL,AllPub,2fmCon
292,131000,5,4,3,8,1716,768,1949,RL,AllPub,1Fam
293,235000,7,7,3,9,2263,795,1977,RL,AllPub,1Fam
294,167000,6,5,3,7,1644,1416,1953,RL,AllPub,1Fam
295,142500,6,6,3,6,1003,1003,1984,RL,AllPub,1Fam
296,152000,5,5,4,6,1558,910,1950,RM,AllPub,1Fam
297,239000,7,5,3,7,1950,975,1997,FV,AllPub,1Fam
298,175000,6,6,3,7,1743,702,1968,RL,AllPub,1Fam
299,158500,6,8,3,6,1152,1092,1950,RL,AllPub,1Fam
300,157000,5,5,2,5,1336,1165,1953,RL,AllPub,2fmCon
301,267000,8,5,4,9,2452,1028,1998,RL,AllPub,1Fam
302,205000,7,5,3,6,1541,1541,2001,RL,AllPub,1Fam
303,149900,5,7,3,5,894,894,1972,RL,AllPub,1Fam
304,295000,7,9,3,10,3493,1470,1880,RM,AllPub,1Fam
305,305900,8,5,3,8,2000,2000,2004,RL,AllPub,1Fam
306,225000,7,5,4,8,2243,700,1990,RL,AllPub,1Fam
307,89500,6,7,3,6,1406,319,1920,RM,AllPub,1Fam
308,82500,4,5,1,4,861,861,1940,RL,AllPub,1Fam
309,360000,9,5,3,8,1944,1896,2003,RL,AllPub,1Fam
310,165600,6,5,3,6,1501,697,1993,RL,AllPub,1Fam
311,132000,6,6,2,5,972,972,1948,RL,AllPub,1Fam
312,119900,5,7,3,5,1118,793,1939,RM,AllPub,2fmCon
313,375000,7,5,3,8,2036,2136,1965,RL,AllPub,1Fam
314,178000,7,7,3,6,1641,728,1925,RM,AllPub,1Fam
315,188500,7,5,3,6,1432,716,2004,RL,AllPub,1Fam
316,260000,7,7,4,10,2353,845,1980,RL,AllPub,1Fam
317,270000,8,5,3,8,1959,1088,2006,FV,AllPub,1Fam
318,260000,7,5,4,9,2646,1347,1993,RL,AllPub,1Fam
319,187500,7,5,3,6,1472,1372,1980,RL,AllPub,1Fam
320,342643,9,5,4,9,2596,1249,2006,RL,AllPub,1Fam
321,354000,8,5,4,10,2468,1136,2004,RL,AllPub,1Fam
322,301000,7,5,4,8,2730,1502,1986,RL,AllPub,1Fam
323,126175,3,8,3,6,1163,1162,1955,RM,AllPub,1Fam
324,242000,7,7,5,11,2978,710,1967,RL,AllPub,1Fam
325,87000,5,6,2,5,803,720,1941,RM,AllPub,1Fam
326,324000,8,5,1,6,1719,1719,1993,RL,AllPub,TwnhsE
327,145250,6,5,3,7,1383,1383,1960,RL,AllPub,1Fam
328,214500,6,6,5,10,2134,844,1916,RL,AllPub,1Fam
329,78000,5,5,3,6,1192,596,1920,RM,AllPub,1Fam
330,119000,5,4,6,10,1728,1728,1964,RL,AllPub,Duplex
331,139000,5,6,3,6,1056,1056,1958,RL,AllPub,1Fam
332,284000,8,5,3,7,1629,3206,2003,RL,AllPub,1Fam
333,207000,7,5,2,6,1358,1358,2004,RM,AllPub,TwnhsE
334,192000,6,5,3,7,1638,943,1998,RL,AllPub,1Fam
335,228950,5,6,3,7,1786,1499,1965,RL,AllPub,2fmCon
336,377426,9,5,3,8,1922,1922,2005,RL,AllPub,1Fam
337,214000,7,5,3,7,1536,1536,2002,RL,AllPub,1Fam
338,202500,7,7,3,8,1621,1208,1984,RL,AllPub,1Fam
339,155000,6,7,3,6,1215,1215,1958,RL,AllPub,1Fam
340,202900,8,5,4,9,1908,967,2002,RL,AllPub,1Fam
341,82000,4,4,2,4,841,721,1950,RH,AllPub,1Fam
342,87500,3,4,2,6,1040,0,1949,RL,AllPub,Duplex
343,266000,9,5,2,6,1684,1684,2005,RL,AllPub,TwnhsE
344,85000,5,3,3,4,1112,536,1976,RM,AllPub,TwnhsE
345,140200,6,5,3,6,1577,972,1939,RL,AllPub,1Fam
346,151500,6,8,2,5,958,958,1960,RL,AllPub,1Fam
347,157500,6,5,3,6,1478,1478,1960,RL,AllPub,1Fam
348,154000,7,5,2,6,1626,764,2003,RL,AllPub,Twnhs
349,437154,9,5,4,10,2728,1848,2005,RL,AllPub,1Fam
350,318061,9,5,2,6,1869,1869,2007,RL,AllPub,TwnhsE
351,190000,7,5,2,6,1453,1453,1986,RL,AllPub,1Fam
352,95000,5,6,3,5,1111,616,1941,RL,AllPub,1Fam
353,105900,6,8,2,5,720,624,1928,RM,AllPub,1Fam
354,140000,6,5,2,6,1595,940,1940,RL,AllPub,1Fam
355,177500,6,5,3,6,1200,1200,1995,RL,AllPub,1Fam
356,173000,6,6,3,6,1167,1158,1992,RL,AllPub,1Fam
357,134000,5,5,3,6,1142,1142,1976,RM,AllPub,TwnhsE
358,130000,5,4,3,6,1352,1062,1958,RL,AllPub,1Fam
359,280000,8,5,3,7,1924,1086,1998,RL,AllPub,1Fam
360,156000,6,6,2,5,912,888,1978,RL,AllPub,1Fam
361,145000,5,5,3,8,1505,883,1940,RL,AllPub,1Fam
362,198500,7,5,4,7,1922,0,2003,RL,AllPub,1Fam
363,118000,6,8,2,5,987,483,1972,RM,AllPub,Twnhs
364,190000,6,5,3,6,1574,796,1976,RL,AllPub,1Fam
365,147000,5,7,3,6,1344,672,1920,RM,AllPub,1Fam
366,159000,6,5,3,6,1394,1394,1963,RL,AllPub,1Fam
367,165000,6,5,3,6,1431,1099,1962,RL,AllPub,1Fam
368,132000,5,6,2,7,1268,1268,1954,RL,AllPub,1Fam
369,162000,5,7,3,7,1287,1063,1959,RL,AllPub,1Fam
370,172400,6,5,3,7,1664,953,2000,RL,AllPub,1Fam
371,134432,4,4,4,7,1588,0,1959,RL,AllPub,1Fam
372,125000,6,5,2,4,752,744,1984,RL,AllPub,TwnhsE
373,123000,5,6,3,5,1319,608,1953,RL,AllPub,1Fam
374,219500,7,5,4,8,1928,847,2003,RL,AllPub,1Fam
375,61000,1,1,1,4,904,683,1922,RL,AllPub,1Fam
376,148000,5,5,2,5,914,870,1996,RL,AllPub,1Fam
377,340000,8,5,4,8,2466,1580,2004,FV,AllPub,1Fam
378,394432,9,2,1,8,1856,1856,2010,RL,AllPub,1Fam
379,179000,6,5,3,7,1800,982,2000,RL,AllPub,1Fam
380,127000,5,6,3,6,1691,1026,1924,RL,AllPub,1Fam
381,187750,7,5,2,5,1301,1293,2006,FV,AllPub,1Fam
382,213500,7,5,3,8,1797,939,2006,RL,AllPub,1Fam
383,76000,6,3,2,5,784,784,1928,RH,AllPub,1Fam
384,240000,6,5,3,9,1953,1580,1992,RL,AllPub,1Fam
385,192000,8,5,2,6,1269,1256,2004,RL,AllPub,TwnhsE
386,81000,5,3,5,8,1184,658,1910,RL,AllPub,1Fam
387,125000,6,6,3,6,1125,1041,1976,RL,AllPub,1Fam
388,191000,7,5,3,6,1479,1468,1999,RL,AllPub,1Fam
389,426000,10,5,3,9,2332,1682,2007,RL,AllPub,1Fam
390,119000,5,8,4,7,1367,861,1900,RL,AllPub,1Fam
391,215000,6,5,3,7,1961,804,2001,RL,AllPub,1Fam
392,106500,5,7,3,5,882,0,1959,RL,AllPub,1Fam
393,100000,4,5,2,4,788,788,1941,RL,AllPub,1Fam
394,109000,5,6,2,5,1034,735,1940,RL,AllPub,1Fam
395,129000,5,6,3,6,1144,1144,1956,RL,AllPub,1Fam
396,123000,5,5,2,6,894,894,1972,RL,AllPub,1Fam
397,169500,5,5,4,8,1812,864,1962,RL,AllPub,1Fam
398,67000,5,2,2,6,1077,961,1920,RM,AllPub,1Fam
399,241000,7,5,2,7,1550,1092,2006,FV,AllPub,1Fam
